Institute,Program,Quota,Seat Type,Gender,OR,CR
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,53772.0,76770.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),66352.0,66352.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,12933.0,13631.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,23304.0,25384.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),24880.0,24880.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,10988.0,11364.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,4435.0,6481.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,OPEN,Gender-Neutral,93133.0,187883.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,OPEN,Female-only (including Supernumerary),155861.0,155861.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,EWS,Gender-Neutral,31241.0,35500.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,OBC-NCL,Gender-Neutral,78964.0,90994.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,OBC-NCL,Female-only (including Supernumerary),94871.0,94871.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,SC,Gender-Neutral,22793.0,25922.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,SC,Female-only (including Supernumerary),24353.0,24353.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,ST,Gender-Neutral,7799.0,8453.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,37130.0,48929.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),47665.0,47665.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,1980.0,1980.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,7926.0,8294.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,16391.0,18070.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),15597.0,15597.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,6897.0,10072.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,3033.0,4308.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,OPEN,Gender-Neutral,72488.0,87934.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,OPEN,Female-only (including Supernumerary),76430.0,76430.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,EWS,Gender-Neutral,16693.0,19603.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,OBC-NCL,Gender-Neutral,31349.0,48037.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,OBC-NCL,Female-only (including Supernumerary),59939.0,59939.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,SC,Gender-Neutral,11525.0,13073.0
