Institute,Program,Seat Type,Gender,OR,CR
IIT Bhubaneswar,Civil Engineering (4 Years B.Tech),EWS,Gender-Neutral,2062,2267
IIT Bhubaneswar,Civil Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),3638,4265
IIT Bhubaneswar,Civil Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,4115,5231
IIT Bhubaneswar,Civil Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),7450,8720
IIT Bhubaneswar,Civil Engineering (4 Years B.Tech),OPEN,Gender-Neutral,9106,14782
IIT Bhubaneswar,Civil Engineering (4 Years B.Tech),OPEN,Female-only (including Supernumerary),18286,23024
IIT Bhubaneswar,Civil Engineering (4 Years B.Tech),SC,Gender-Neutral,2381,2587
IIT Bhubaneswar,Civil Engineering (4 Years B.Tech),SC,Female-only (including Supernumerary),4031,4293
IIT Bhubaneswar,Civil Engineering (4 Years B.Tech),ST,Gender-Neutral,753,977
IIT Bhubaneswar,Civil Engineering (4 Years B.Tech),ST,Female-only (including Supernumerary),1718,1750
IIT Bhubaneswar,Computer Science and Engineering (4 Years B.Tech),EWS,Gender-Neutral,400,466
IIT Bhubaneswar,Computer Science and Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),1025,1025
IIT Bhubaneswar,Computer Science and Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,774,1237
IIT Bhubaneswar,Computer Science and Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),2107,3291
IIT Bhubaneswar,Computer Science and Engineering (4 Years B.Tech),OBC-NCL (PwD),Gender-Neutral,31,31
IIT Bhubaneswar,Computer Science and Engineering (4 Years B.Tech),OPEN,Gender-Neutral,2389,3685
IIT Bhubaneswar,Computer Science and Engineering (4 Years B.Tech),OPEN,Female-only (including Supernumerary),4833,7557
IIT Bhubaneswar,Computer Science and Engineering (4 Years B.Tech),OPEN (PwD),Female-only (including Supernumerary),197,197
IIT Bhubaneswar,Computer Science and Engineering (4 Years B.Tech),SC,Gender-Neutral,382,596
