Institute,Program,Seat Type,Gender,OR,CR
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",OPEN,Gender-Neutral,9193,13624
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",OPEN,Female-only (including Supernumerary),16138,21674
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",EWS,Gender-Neutral,1907,2171
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",EWS,Female-only (including Supernumerary),3334,3334
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",OBC-NCL,Gender-Neutral,4094,4615
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",OBC-NCL,Female-only (including Supernumerary),6261,8015
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",SC,Gender-Neutral,1729,2362
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",SC,Female-only (including Supernumerary),2464,2464
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",ST,Gender-Neutral,677,737
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",ST,Female-only (including Supernumerary),990,990
IIT Bhubaneswar,"Civil Engineering and M. Tech. in
Structural Engineering (5 Years, B.
Tech - M.Tech Dual Deg.)",OPEN,Gender-Neutral,13928,14224
IIT Bhubaneswar,"Civil Engineering and M. Tech. in
Structural Engineering (5 Years, B.
Tech - M.Tech Dual Deg.)",OPEN,Female-only (including Supernumerary),18771,18771
IIT Bhubaneswar,"Civil Engineering and M. Tech. in
Structural Engineering (5 Years, B.
Tech - M.Tech Dual Deg.)",EWS,Gender-Neutral,1982,1982
IIT Bhubaneswar,"Civil Engineering and M. Tech. in
Structural Engineering (5 Years, B.
Tech - M.Tech Dual Deg.)",EWS,Female-only (including Supernumerary),3448,3448
IIT Bhubaneswar,"Civil Engineering and M. Tech. in
Structural Engineering (5 Years, B.
Tech - M.Tech Dual Deg.)",OBC-NCL,Gender-Neutral,4717,4961
IIT Bhubaneswar,"Civil Engineering and M. Tech. in
Structural Engineering (5 Years, B.
Tech - M.Tech Dual Deg.)",SC,Gender-Neutral,2375,2375
IIT Bhubaneswar,"Civil Engineering and M. Tech. in
Structural Engineering (5 Years, B.
Tech - M.Tech Dual Deg.)",SC,Female-only (including Supernumerary),3561,3561
IIT Bhubaneswar,"Civil Engineering and M.Tech in
TransportationEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",OPEN,Gender-Neutral,14571,14813
IIT Bhubaneswar,"Civil Engineering and M.Tech in
TransportationEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",OPEN,Female-only (including Supernumerary),22114,22114
IIT Bhubaneswar,"Civil Engineering and M.Tech in
TransportationEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",EWS,Gender-Neutral,2050,2050
IIT Bhubaneswar,"Civil Engineering and M.Tech in
TransportationEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",OBC-NCL,Gender-Neutral,4987,5008
IIT Bhubaneswar,"Civil Engineering and M.Tech in
TransportationEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",OBC-NCL,Female-only (including Supernumerary),9188,9188
IIT Bhubaneswar,"Civil Engineering and M.Tech in
TransportationEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",SC,Gender-Neutral,2621,2628
IIT Bhubaneswar,"Civil Engineering and M.Tech in
TransportationEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",ST,Female-only (including Supernumerary),1473,1473
IIT Bhubaneswar,"Civil Engineering and M.Tech. in
EnvironmentalEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",OPEN,Gender-Neutral,14982,15033
IIT Bhubaneswar,"Civil Engineering and M.Tech. in
EnvironmentalEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",OPEN,Female-only (including Supernumerary),21738,21738
IIT Bhubaneswar,"Civil Engineering and M.Tech. in
EnvironmentalEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",EWS,Gender-Neutral,2186,2186
IIT Bhubaneswar,"Civil Engineering and M.Tech. in
EnvironmentalEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",OBC-NCL,Gender-Neutral,4734,5176
IIT Bhubaneswar,"Civil Engineering and M.Tech. in
EnvironmentalEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",SC,Gender-Neutral,1720,1720
IIT Bhubaneswar,"Civil Engineering and M.Tech. in
EnvironmentalEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",SC,Female-only (including Supernumerary),3584,3673
IIT Bhubaneswar,"Civil Engineering and M.Tech. in
EnvironmentalEngineering(5Years, B.
Tech - M.Tech Dual Deg.)",ST,Gender-Neutral,910,910
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",OPEN,Gender-Neutral,1702,2769
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",OPEN,Female-only (including Supernumerary),3119,5436
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",OPEN (PwD),Female-only (including Supernumerary),74,74
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",EWS,Gender-Neutral,346,355
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",EWS,Female-only (including Supernumerary),787,787
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",EWS (PwD),Gender-Neutral,21,21
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",OBC-NCL,Gender-Neutral,657,859
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",OBC-NCL,Female-only (including Supernumerary),1208,2212
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",OBC-NCL (PwD),Gender-Neutral,34,34
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",SC,Gender-Neutral,280,366
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",SC,Female-only (including Supernumerary),725,725
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",ST,Gender-Neutral,142,204
IIT Bhubaneswar,"Computer Science and Engineering (4
Years, B. Tech)",ST,Female-only (including Supernumerary),225,225
IIT Bhubaneswar,"Computer Science and Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",OPEN,Gender-Neutral,2821,3240
IIT Bhubaneswar,"Computer Science and Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",OPEN,Female-only (including Supernumerary),5048,5048
IIT Bhubaneswar,"Computer Science and Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",EWS,Gender-Neutral,459,459
IIT Bhubaneswar,"Computer Science and Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",OBC-NCL,Gender-Neutral,1156,1240
IIT Bhubaneswar,"Computer Science and Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",OBC-NCL,Female-only (including Supernumerary),2716,2716
IIT Bhubaneswar,"Computer Science and Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",SC,Gender-Neutral,545,545
IIT Bhubaneswar,"Computer Science and Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",ST,Gender-Neutral,371,371
IIT Bhubaneswar,"Electrical Engineering and M.Tech
PowerElectronicsandDrives (5Years,
B. Tech - M.Tech Dual Deg.)",OPEN,Gender-Neutral,6646,7729
IIT Bhubaneswar,"Electrical Engineering and M.Tech
PowerElectronicsandDrives (5Years,
B. Tech - M.Tech Dual Deg.)",OPEN,Female-only (including Supernumerary),11359,11359
IIT Bhubaneswar,"Electrical Engineering and M.Tech
PowerElectronicsandDrives (5Years,
B. Tech - M.Tech Dual Deg.)",EWS,Gender-Neutral,1264,1264
IIT Bhubaneswar,"Electrical Engineering and M.Tech
PowerElectronicsandDrives (5Years,
B. Tech - M.Tech Dual Deg.)",OBC-NCL,Gender-Neutral,2653,2827
IIT Bhubaneswar,"Electrical Engineering and M.Tech
PowerElectronicsandDrives (5Years,
B. Tech - M.Tech Dual Deg.)",SC,Gender-Neutral,1190,1190
IIT Bhubaneswar,"Electrical Engineering and M.Tech
PowerElectronicsandDrives (5Years,
B. Tech - M.Tech Dual Deg.)",SC,Female-only (including Supernumerary),2607,2607
IIT Bhubaneswar,"Electrical Engineering and M.Tech
PowerElectronicsandDrives (5Years,
B. Tech - M.Tech Dual Deg.)",ST,Gender-Neutral,854,854
IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",OPEN,Gender-Neutral,5136,6631
IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",OPEN,Female-only (including Supernumerary),8389,10729
IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",EWS,Gender-Neutral,829,1140
IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",EWS,Female-only (including Supernumerary),1663,1663
IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",OBC-NCL,Gender-Neutral,1884,2490
